date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,28.7,26,32,1,,,10.6,,1009.3,
2025-01-02 00:00:00,27.9,25,30.4,3,,,8.2,,1009.8,
2025-01-03 00:00:00,27.8,24.6,32,4.4,,,10,,1009.8,
2025-01-04 00:00:00,26.8,25,30,15.6,,,6.8,,1010.4,
2025-01-05 00:00:00,26.4,25,28,2.3,,,7.2,,1010.5,
2025-01-06 00:00:00,26.8,23.8,31,0.1,,,8.5,,1009.7,
2025-01-07 00:00:00,28,24,33,0,,,8.6,,1009.2,
2025-01-08 00:00:00,28.6,25,33.2,0,,,12.1,,1009.2,
2025-01-09 00:00:00,28.2,25.6,34,0,,,11.6,,1008.9,
2025-01-10 00:00:00,27.6,24,30.4,0,,,10.8,,1008.7,
2025-01-11 00:00:00,27.9,24,32,0,,,9.6,,1009.2,
2025-01-12 00:00:00,27.8,23.7,32.7,0,,,10.6,,1009.3,
2025-01-13 00:00:00,27.6,23.7,33,0,,,9.9,,1010.6,
2025-01-14 00:00:00,27.9,23.7,33,0,,,12,,1011.2,
2025-01-15 00:00:00,27.9,25.6,32,0,,,16.1,,1011.5,
2025-01-16 00:00:00,27.8,24.4,32.7,0,,,14.3,,1011.7,
2025-01-17 00:00:00,27.3,24,31,0.3,,,11.6,,1012,
2025-01-18 00:00:00,27.1,22.9,32,0,,,11.7,,1011.2,
2025-01-19 00:00:00,27.3,23,32,0,,,11.6,,1010.7,
2025-01-20 00:00:00,27.5,24,32,0.2,,,12.3,,1010.5,
2025-01-21 00:00:00,27.5,23.6,32,0,,,10.7,,1009.5,
2025-01-22 00:00:00,27.2,22.6,32.3,0,,,10.8,,1009.7,
2025-01-23 00:00:00,27.4,22.4,33,0,,,13.4,,1009.3,
2025-01-24 00:00:00,27.4,23.4,32,0,,,13.7,,1009.4,
2025-01-25 00:00:00,27.9,23.8,33,0,,,13.8,,1009.6,
2025-01-26 00:00:00,28.2,25,33.1,0,,,16.9,,1009,
2025-01-27 00:00:00,27.4,23.6,33,0,,,12.4,,1007.7,
2025-01-28 00:00:00,27.4,24,30,0,,,12.8,,1008,
2025-01-29 00:00:00,27.6,24,33,0,,,11.9,,1008.5,
2025-01-30 00:00:00,27.9,24,33.1,0,,,11.8,,1008.2,
2025-01-31 00:00:00,28.2,24.8,33.1,0,,,11.2,,1007.4,
2025-02-01 00:00:00,28,24,33,0,,,14.9,,1007.3,
2025-02-02 00:00:00,27.7,23.2,32.6,0,,,13.8,,1007.2,
2025-02-03 00:00:00,27.5,23.5,32.5,0,,,15.5,,1007.3,
2025-02-04 00:00:00,27.3,22.8,32,0,,,13.8,,1007.7,
2025-02-05 00:00:00,27.3,24,32,0,,,15.6,,1008.1,
2025-02-06 00:00:00,26.8,23,32,0,,,13.6,,1008.1,
2025-02-07 00:00:00,27,23,32,0,,,16.7,,1007.8,
2025-02-08 00:00:00,27,22.7,33,0,,,15.3,,1008.7,
2025-02-09 00:00:00,27,23,31.2,0,,,17.1,,1009.9,
2025-02-10 00:00:00,26.9,23,31,0,,,16.9,,1009.5,
2025-02-11 00:00:00,26.7,23,31,0,,,14.2,,1007.3,
2025-02-12 00:00:00,27.2,22.9,32.3,0.2,,,12.7,,1007.8,
2025-02-13 00:00:00,27.2,23,31.7,0.7,,,14.6,,1010,
2025-02-14 00:00:00,27.4,23,33,1.3,,,14.4,,1011.1,
2025-02-15 00:00:00,27.4,24,32,3,,,11.7,,1009.9,
2025-02-16 00:00:00,27.4,23,32,2.3,,,10.8,,1009.5,
2025-02-17 00:00:00,28,24.6,32.1,1,,,14.5,,1009.4,
2025-02-18 00:00:00,27.7,24,33,1.3,,,12.9,,1009.3,
2025-02-19 00:00:00,27.9,24.5,32,3.1,,,11.9,,1009.5,
2025-02-20 00:00:00,27.9,24.5,33,0,,,12.9,,1009.6,
2025-02-21 00:00:00,28.3,24.8,32,1.6,,,17,,1009.8,
